               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.025528,           0.0054078,          0.00077389,             0.90786,              0.8843,             0.90543,              0.5655,            0.022287,           0.0031161,           0.0004729,            0.006502,            0.006502,            0.006502
                  55,            0.026386,           0.0057248,          0.00060697,             0.96005,             0.81901,             0.89138,             0.59484,            0.022284,           0.0031429,          0.00044053,            0.006436,            0.006436,            0.006436
                  56,            0.025218,           0.0055957,           0.0011695,             0.85458,                0.88,             0.89158,             0.57508,            0.021894,           0.0030973,           0.0004989,             0.00637,             0.00637,             0.00637
                  57,            0.024757,           0.0053076,           0.0007195,             0.88129,             0.87801,             0.87975,             0.53804,            0.022766,           0.0030939,          0.00044519,            0.006304,            0.006304,            0.006304
                  58,            0.024713,           0.0056875,          0.00071971,             0.90413,             0.87801,             0.87181,             0.57224,            0.022108,           0.0030544,           0.0004209,            0.006238,            0.006238,            0.006238
                  59,            0.024815,           0.0053317,          0.00063707,             0.96903,             0.87888,             0.88778,             0.58144,            0.022399,           0.0030328,          0.00046737,            0.006172,            0.006172,            0.006172
                  60,            0.024668,           0.0054618,          0.00047663,             0.94834,             0.83801,             0.88835,              0.5808,            0.022306,           0.0030965,          0.00044934,            0.006106,            0.006106,            0.006106
                  61,            0.024426,           0.0054713,          0.00066219,             0.90136,               0.885,             0.89912,             0.59159,             0.02159,           0.0030743,          0.00040677,             0.00604,             0.00604,             0.00604
                  62,            0.024296,           0.0054192,          0.00063601,             0.97085,             0.87646,             0.90069,             0.60316,             0.02167,           0.0030002,          0.00052529,            0.005974,            0.005974,            0.005974
                  63,            0.023595,           0.0051959,          0.00054158,             0.90024,             0.85123,             0.87012,             0.61005,            0.021322,           0.0030198,          0.00054434,            0.005908,            0.005908,            0.005908
                  64,            0.023795,           0.0051716,          0.00049411,             0.96824,             0.81704,             0.86981,             0.57851,            0.021555,           0.0030641,           0.0004898,            0.005842,            0.005842,            0.005842
                  65,            0.023892,           0.0055844,          0.00069822,             0.90396,             0.85801,             0.89258,             0.59731,            0.021282,           0.0030147,          0.00054888,            0.005776,            0.005776,            0.005776
                  66,            0.023657,           0.0053612,          0.00053203,             0.94132,             0.83625,             0.89263,             0.58627,            0.021095,           0.0030274,          0.00043849,             0.00571,             0.00571,             0.00571
                  67,             0.02329,           0.0051511,          0.00067964,             0.95957,             0.83801,             0.86127,             0.59783,            0.020932,           0.0029725,          0.00038391,            0.005644,            0.005644,            0.005644
                  68,            0.023444,           0.0053452,          0.00059096,             0.88652,                0.88,             0.88418,             0.58089,            0.021374,           0.0030401,          0.00040213,            0.005578,            0.005578,            0.005578
                  69,            0.023476,           0.0054521,          0.00057309,             0.92373,             0.87519,             0.89877,             0.58609,            0.020846,           0.0030442,          0.00037484,            0.005512,            0.005512,            0.005512
                  70,            0.022941,           0.0052788,          0.00060128,             0.96057,             0.81713,             0.87944,             0.59466,            0.020473,             0.00309,          0.00043781,            0.005446,            0.005446,            0.005446
                  71,            0.022219,           0.0051061,          0.00052895,             0.94276,                 0.9,             0.88872,             0.60332,            0.021301,           0.0029907,          0.00046608,             0.00538,             0.00538,             0.00538
                  72,            0.023426,           0.0052396,          0.00049549,             0.96835,             0.85396,             0.88655,              0.5887,            0.020582,           0.0030198,          0.00041165,            0.005314,            0.005314,            0.005314
                  73,            0.022754,             0.00537,          0.00055099,             0.96375,             0.85801,             0.88724,              0.5692,            0.020758,           0.0029751,          0.00036895,            0.005248,            0.005248,            0.005248
                  74,            0.021358,            0.004983,          0.00045601,             0.94578,             0.87974,             0.90135,             0.60237,            0.020625,           0.0029131,          0.00035677,            0.005182,            0.005182,            0.005182
                  75,            0.022422,           0.0050893,          0.00045193,              0.9406,             0.89417,             0.90496,             0.59675,            0.020285,           0.0029057,          0.00036538,            0.005116,            0.005116,            0.005116
                  76,            0.022123,           0.0051207,          0.00076833,             0.92692,                0.86,             0.86856,             0.60321,            0.020513,           0.0029598,          0.00034509,             0.00505,             0.00505,             0.00505
                  77,            0.022269,            0.005111,          0.00049994,             0.96938,                0.88,             0.88826,             0.59975,            0.020179,           0.0029118,           0.0003676,            0.004984,            0.004984,            0.004984
                  78,            0.021704,           0.0050694,          0.00053305,             0.97307,             0.89267,             0.90468,             0.61715,            0.020905,           0.0029673,           0.0003405,            0.004918,            0.004918,            0.004918
                  79,            0.021812,           0.0050461,          0.00050792,             0.94374,                0.88,             0.89936,             0.61925,            0.019817,            0.002894,          0.00034317,            0.004852,            0.004852,            0.004852
                  80,            0.022177,           0.0049617,          0.00048758,             0.91255,                0.86,             0.85834,             0.60204,            0.020366,           0.0029119,          0.00033855,            0.004786,            0.004786,            0.004786
                  81,            0.021882,           0.0050042,          0.00044784,              0.9458,             0.85882,             0.88297,             0.60056,            0.020366,           0.0028697,          0.00034637,             0.00472,             0.00472,             0.00472
                  82,            0.021257,           0.0049239,          0.00039556,             0.92245,                0.88,              0.8813,             0.59128,            0.020549,            0.002925,          0.00036069,            0.004654,            0.004654,            0.004654
                  83,            0.021565,           0.0048731,          0.00041051,             0.94642,             0.89446,             0.90497,             0.63826,            0.019982,           0.0029474,          0.00038217,            0.004588,            0.004588,            0.004588
                  84,            0.021257,           0.0047896,          0.00041485,             0.96709,                 0.9,             0.90214,             0.63512,            0.020214,           0.0029207,          0.00046933,            0.004522,            0.004522,            0.004522
                  85,            0.020619,           0.0048032,          0.00039962,             0.95349,                0.84,             0.87685,             0.61013,            0.020607,           0.0028918,          0.00039913,            0.004456,            0.004456,            0.004456
                  86,            0.020464,           0.0048846,          0.00040188,             0.90832,             0.87467,             0.88346,              0.6082,            0.019797,            0.002836,          0.00041137,             0.00439,             0.00439,             0.00439
                  87,             0.02044,           0.0049953,          0.00038183,             0.94837,             0.87374,             0.88287,               0.591,            0.019549,           0.0028716,          0.00041708,            0.004324,            0.004324,            0.004324
                  88,             0.02014,            0.004803,          0.00035601,             0.99409,             0.83911,             0.88153,             0.60311,            0.019476,           0.0028364,          0.00043047,            0.004258,            0.004258,            0.004258
                  89,            0.020137,           0.0048134,          0.00043343,             0.95308,             0.83801,             0.86997,              0.5877,            0.020206,           0.0028176,          0.00041344,            0.004192,            0.004192,            0.004192
                  90,            0.020421,           0.0047053,          0.00045733,              0.9695,             0.83448,             0.86067,             0.57998,            0.020317,           0.0028878,          0.00045515,            0.004126,            0.004126,            0.004126
                  91,            0.019435,           0.0047151,          0.00038594,             0.99036,             0.83911,             0.86466,             0.60252,            0.020058,           0.0029204,          0.00035718,             0.00406,             0.00406,             0.00406
                  92,             0.01993,           0.0048078,          0.00042639,             0.94762,             0.87447,              0.8804,              0.6135,            0.019313,            0.002835,          0.00030993,            0.003994,            0.003994,            0.003994
                  93,            0.019368,           0.0046973,          0.00040243,              0.9399,             0.85148,             0.88102,             0.61738,            0.020061,            0.002868,          0.00039319,            0.003928,            0.003928,            0.003928
                  94,            0.019715,           0.0047426,          0.00026952,             0.94876,                0.88,             0.88909,             0.62447,             0.01949,           0.0028847,          0.00035427,            0.003862,            0.003862,            0.003862
                  95,             0.01982,           0.0046262,          0.00054958,             0.96843,             0.89602,              0.9163,             0.60633,            0.019943,           0.0029499,          0.00034416,            0.003796,            0.003796,            0.003796
                  96,            0.019149,           0.0045487,            0.000367,              0.9441,                0.88,              0.9131,             0.63564,            0.019383,           0.0028885,           0.0003531,             0.00373,             0.00373,             0.00373
                  97,            0.019094,            0.004524,          0.00040493,              0.9626,                0.86,             0.88808,             0.61725,            0.019336,           0.0028943,          0.00034299,            0.003664,            0.003664,            0.003664
                  98,            0.019344,           0.0049593,           0.0003649,             0.97122,             0.87563,             0.89685,             0.62317,            0.019251,           0.0028128,          0.00030478,            0.003598,            0.003598,            0.003598
                  99,            0.019656,           0.0046115,          0.00046682,              0.9476,             0.85646,             0.89038,             0.61578,             0.01958,           0.0028644,          0.00039883,            0.003532,            0.003532,            0.003532
                 100,            0.018637,            0.004518,          0.00033504,             0.94799,             0.85625,             0.87661,             0.60841,            0.019001,           0.0028119,          0.00035382,            0.003466,            0.003466,            0.003466
                 101,            0.018733,           0.0044944,          0.00050128,              0.9267,             0.87173,             0.89967,             0.60073,            0.019382,           0.0028457,           0.0004098,              0.0034,              0.0034,              0.0034
                 102,            0.018311,           0.0045741,          0.00027057,             0.98415,             0.87801,             0.90683,             0.60995,            0.019209,           0.0028568,          0.00026522,            0.003334,            0.003334,            0.003334
                 103,             0.01899,           0.0045847,          0.00023736,              0.9714,             0.83304,               0.908,             0.62068,            0.019407,           0.0029023,          0.00023647,            0.003268,            0.003268,            0.003268
                 104,            0.018413,           0.0042497,          0.00027421,              0.9994,             0.87774,             0.92019,             0.61611,            0.018915,           0.0028681,          0.00021219,            0.003202,            0.003202,            0.003202
                 105,             0.01856,           0.0046003,          0.00048913,             0.96267,             0.87801,             0.91815,             0.65234,            0.018485,           0.0027873,          0.00024871,            0.003136,            0.003136,            0.003136
                 106,            0.018199,           0.0045756,          0.00032989,             0.97061,             0.86702,             0.89838,             0.61431,            0.018748,           0.0027922,          0.00025615,             0.00307,             0.00307,             0.00307
                 107,            0.017795,           0.0043471,          0.00039028,             0.96493,                0.88,             0.90312,             0.63642,            0.018463,           0.0027877,          0.00022762,            0.003004,            0.003004,            0.003004
